CustomerID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFM_SCORE,Segment
12346.0,325,1,1.04,1,1,1,111,Hibernating
12347.0,1,7,481.2099999999999,5,5,5,555,Best Customers
12348.0,74,4,178.71,2,4,4,244,At_Risk
12349.0,18,1,605.1,4,1,5,415,Promising
12350.0,309,1,65.3,1,1,2,112,Hibernating
12352.0,35,8,1354.11,3,5,5,355,Loyal_Customers
12353.0,203,1,24.299999999999997,1,1,1,111,Hibernating
12354.0,231,1,261.22,1,1,4,114,Hibernating
12355.0,213,1,54.650000000000006,1,1,2,112,Hibernating
12356.0,22,3,188.86999999999998,4,3,4,434,Potential_Loyalists
12357.0,32,1,438.66999999999996,4,1,5,415,Promising
12358.0,1,2,157.21,5,2,3,523,Potential_Loyalists
12359.0,57,4,2137.8599999999997,3,4,5,345,Loyal_Customers
12360.0,51,3,457.90999999999997,3,3,5,335,Need_Attention
12361.0,286,1,33.349999999999994,1,1,1,111,Hibernating
12362.0,2,10,1048.29,5,5,5,555,Best Customers
12363.0,109,2,53.17000000000001,2,2,2,222,Hibernating
12364.0,7,4,162.37,5,4,3,543,Best Customers
12365.0,290,2,377.31,1,2,5,125,Hibernating
12367.0,3,1,35.2,5,1,1,511,New_Customers
12370.0,50,4,467.65000000000003,3,4,5,345,Loyal_Customers
12371.0,44,2,244.07999999999998,3,2,4,324,About_to_Sleep
12372.0,71,3,156.07,3,3,3,333,Need_Attention
12373.0,310,1,64.15,1,1,2,112,Hibernating
12374.0,24,1,139.25,4,1,3,413,Promising
12375.0,10,2,117.52000000000001,5,2,3,523,Potential_Loyalists
12377.0,314,2,209.34999999999997,1,2,4,124,Hibernating
12378.0,129,1,656.44,2,1,5,215,Hibernating
12379.0,81,2,114.65,2,2,3,223,Hibernating
12380.0,21,4,351.38,4,4,4,444,Loyal_Customers
12381.0,4,5,407.44,5,4,5,545,Best Customers
12383.0,184,5,305.61,1,4,4,144,At_Risk
12384.0,28,2,212.74,4,2,4,424,Potential_Loyalists
12386.0,337,2,23.910000000000004,1,2,1,121,Hibernating
12388.0,15,6,277.77,4,4,4,444,Loyal_Customers
12390.0,79,1,127.9,2,1,3,213,Hibernating
12391.0,21,1,245.98999999999998,4,1,4,414,Promising
12393.0,71,4,145.9,3,4,3,343,Loyal_Customers
12394.0,63,2,91.00999999999999,3,2,2,322,About_to_Sleep
12395.0,18,12,619.14,4,5,5,455,Loyal_Customers
12397.0,35,2,437.0,3,2,5,325,About_to_Sleep
12398.0,45,1,169.38000000000002,3,1,3,313,About_to_Sleep
12399.0,118,4,124.76,2,4,3,243,At_Risk
12401.0,302,1,48.4,1,1,2,112,Hibernating
12402.0,322,1,36.2,1,1,1,111,Hibernating
12403.0,49,1,35.400000000000006,3,1,1,311,About_to_Sleep
12405.0,148,1,191.39,2,1,4,214,Hibernating
12406.0,21,2,261.14000000000004,4,2,4,424,Potential_Loyalists
12407.0,49,5,251.58999999999997,3,4,4,344,Loyal_Customers
12408.0,32,5,317.40000000000003,4,4,4,444,Loyal_Customers
12409.0,78,3,389.61999999999995,2,3,5,235,At_Risk
12410.0,308,2,164.71999999999997,1,2,3,123,Hibernating
12412.0,74,3,165.53999999999996,2,3,3,233,At_Risk
12413.0,66,3,182.33999999999997,3,3,4,334,Need_Attention
12414.0,216,3,154.26000000000002,1,3,3,133,At_Risk
12415.0,23,21,2097.08,4,5,5,455,Loyal_Customers
12417.0,2,9,1024.88,5,5,5,555,Best Customers
12418.0,112,1,121.19,2,1,3,213,Hibernating
12420.0,63,1,136.51,3,1,3,313,About_to_Sleep
12421.0,15,4,203.40999999999997,4,4,4,444,Loyal_Customers
12422.0,95,3,127.15,2,3,3,233,At_Risk
12423.0,0,8,364.20000000000005,5,5,5,555,Best Customers
12424.0,162,2,83.42000000000002,2,2,2,222,Hibernating
12425.0,77,1,92.32,2,1,2,212,Hibernating
12426.0,194,1,118.08999999999999,1,1,3,113,Hibernating
12427.0,21,3,142.26,4,3,3,433,Potential_Loyalists
12428.0,25,9,1360.46,4,5,5,455,Loyal_Customers
12429.0,8,4,352.18000000000006,5,4,4,544,Best Customers
12430.0,42,1,68.48,3,1,2,312,About_to_Sleep
12431.0,35,15,889.49,3,5,5,355,Loyal_Customers
12432.0,42,5,1139.4900000000002,3,4,5,345,Loyal_Customers
12433.0,0,7,920.9499999999998,5,5,5,555,Best Customers
12434.0,84,2,183.62999999999997,2,2,4,224,Hibernating
12435.0,79,2,197.24999999999997,2,2,4,224,Hibernating
12436.0,99,1,84.28,2,1,2,212,Hibernating
12437.0,1,18,798.5,5,5,5,555,Best Customers
12438.0,13,2,381.70000000000005,4,2,5,425,Potential_Loyalists
12441.0,366,1,40.71,1,1,2,112,Hibernating
12442.0,2,1,40.08,5,1,1,511,New_Customers
12444.0,20,5,1119.13,4,4,5,445,Loyal_Customers
12445.0,21,1,31.95,4,1,1,411,Promising
12446.0,57,1,248.1,3,1,4,314,About_to_Sleep
12447.0,242,1,92.93,1,1,3,113,Hibernating
12448.0,43,1,130.94,3,1,3,313,About_to_Sleep
12449.0,21,4,705.69,4,4,5,445,Loyal_Customers
12450.0,155,2,12.94,2,2,1,221,Hibernating
12451.0,10,5,867.3299999999999,5,4,5,545,Best Customers
12452.0,16,2,98.67,4,2,3,423,Potential_Loyalists
12453.0,133,1,102.91,2,1,3,213,Hibernating
12454.0,55,1,109.23,3,1,3,313,About_to_Sleep
12455.0,72,6,285.6,2,4,4,244,At_Risk
12456.0,43,3,453.07000000000005,3,3,5,335,Need_Attention
12457.0,65,7,332.13999999999993,3,5,4,354,Loyal_Customers
12458.0,70,2,164.4,3,2,3,323,About_to_Sleep
12461.0,93,2,149.06,2,2,3,223,Hibernating
12462.0,18,2,290.74999999999994,4,2,4,424,Potential_Loyalists
12463.0,52,4,252.60999999999999,3,4,4,344,Loyal_Customers
12464.0,9,8,343.15,5,5,4,554,Best Customers
12465.0,16,2,129.72,4,2,3,423,Potential_Loyalists
12468.0,187,2,133.57000000000002,1,2,3,123,Hibernating
12471.0,1,30,1978.17,5,5,5,555,Best Customers
12472.0,31,7,812.81,4,5,5,455,Loyal_Customers
12473.0,28,5,1398.42,4,4,5,445,Loyal_Customers
12474.0,16,18,1215.04,4,5,5,455,Loyal_Customers
12475.0,53,1,105.88000000000001,3,1,3,313,About_to_Sleep
12476.0,15,11,1125.63,4,5,5,455,Loyal_Customers
12477.0,22,6,1314.96,4,4,5,445,Loyal_Customers
12478.0,3,1,163.36,5,1,3,513,New_Customers
12479.0,10,1,82.73000000000002,5,1,2,512,New_Customers
12480.0,27,4,482.7,4,4,5,445,Loyal_Customers
12481.0,22,10,741.0500000000001,4,5,5,455,Loyal_Customers
12483.0,16,8,389.86,4,5,5,455,Loyal_Customers
12484.0,32,6,1081.63,4,4,5,445,Loyal_Customers
12488.0,9,3,205.40999999999994,5,3,4,534,Potential_Loyalists
12489.0,335,1,88.62,1,1,2,112,Hibernating
12490.0,4,10,659.75,5,5,5,555,Best Customers
12491.0,38,1,87.80000000000001,3,1,2,312,About_to_Sleep
12492.0,62,2,66.95000000000002,3,2,2,322,About_to_Sleep
12493.0,165,2,94.80000000000001,2,2,3,223,Hibernating
12494.0,15,7,297.38999999999993,4,5,4,454,Loyal_Customers
12497.0,81,1,28.84,2,1,1,211,Hibernating
12498.0,20,3,96.55000000000003,4,3,3,433,Potential_Loyalists
12500.0,22,11,343.8500000000001,4,5,4,454,Loyal_Customers
12501.0,336,1,359.48999999999995,1,1,5,115,Hibernating
12502.0,95,5,944.51,2,4,5,245,At_Risk
12504.0,17,2,81.10000000000001,4,2,2,422,Potential_Loyalists
12506.0,232,1,73.50000000000001,1,1,2,112,Hibernating
12507.0,133,3,102.12,2,3,3,233,At_Risk
12508.0,25,2,118.71000000000001,4,2,3,423,Potential_Loyalists
12509.0,283,1,38.95,1,1,1,111,Hibernating
12510.0,142,2,140.69,2,2,3,223,Hibernating
12512.0,65,2,87.7,3,2,2,322,About_to_Sleep
12513.0,112,1,76.32,2,1,2,212,Hibernating
12514.0,266,1,168.13999999999996,1,1,3,113,Hibernating
12515.0,352,1,108.5,1,1,3,113,Hibernating
12516.0,77,2,70.87,2,2,2,222,Hibernating
12517.0,27,5,668.1800000000001,4,4,5,445,Loyal_Customers
12518.0,0,5,351.80999999999995,5,4,4,544,Best Customers
12519.0,63,1,53.84,3,1,2,312,About_to_Sleep
12520.0,78,5,499.84000000000003,2,4,5,245,At_Risk
12521.0,142,1,113.84,2,1,3,213,Hibernating
12522.0,38,2,60.01,3,2,2,322,About_to_Sleep
12523.0,18,11,523.1600000000001,4,5,5,455,Loyal_Customers
12524.0,8,8,420.06,5,5,5,555,Best Customers
12526.0,0,3,238.11999999999998,5,3,4,534,Potential_Loyalists
12527.0,81,3,52.730000000000004,2,3,2,232,At_Risk
12528.0,8,6,504.8900000000001,5,5,5,555,Best Customers
12530.0,59,4,256.44,3,4,4,344,Loyal_Customers
12531.0,14,1,64.76,4,1,2,412,Promising
12532.0,29,1,59.17,4,1,2,412,Promising
12534.0,130,1,191.22999999999996,2,1,4,214,Hibernating
12535.0,91,2,151.34999999999997,2,2,3,223,Hibernating
12536.0,42,3,9070.93,3,3,5,335,Need_Attention
12538.0,28,1,76.51000000000002,4,1,2,412,Promising
