CustomerID,Recency,Frequency,Monetary,Cluster_Id,Cluster_Id_K5
12346.0,325,1,1.04,1,1
12347.0,1,7,481.2099999999999,0,0
12348.0,74,4,178.71,0,4
12349.0,18,1,605.1,0,0
12350.0,309,1,65.3,1,1
12352.0,35,8,1354.11,2,3
12353.0,203,1,24.299999999999997,1,1
12354.0,231,1,261.22,1,1
12355.0,213,1,54.650000000000006,1,1
12356.0,22,3,188.86999999999998,0,4
12357.0,32,1,438.66999999999996,0,0
12358.0,1,2,157.21,0,4
12359.0,57,4,2137.8599999999997,2,2
12360.0,51,3,457.90999999999997,0,0
12361.0,286,1,33.349999999999994,1,1
12362.0,2,10,1048.29,2,3
12363.0,109,2,53.17000000000001,0,4
12364.0,7,4,162.37,0,0
12365.0,290,2,377.31,1,1
12367.0,3,1,35.2,0,4
12370.0,50,4,467.65000000000003,0,0
12371.0,44,2,244.07999999999998,0,4
12372.0,71,3,156.07,0,4
12373.0,310,1,64.15,1,1
12374.0,24,1,139.25,0,4
12375.0,10,2,117.52000000000001,0,4
12377.0,314,2,209.34999999999997,1,1
12378.0,129,1,656.44,0,0
12379.0,81,2,114.65,0,4
12380.0,21,4,351.38,0,0
12381.0,4,5,407.44,0,0
12383.0,184,5,305.61,1,1
12384.0,28,2,212.74,0,4
12386.0,337,2,23.910000000000004,1,1
12388.0,15,6,277.77,0,0
12390.0,79,1,127.9,0,4
12391.0,21,1,245.98999999999998,0,4
12393.0,71,4,145.9,0,4
12394.0,63,2,91.00999999999999,0,4
12395.0,18,12,619.14,2,3
12397.0,35,2,437.0,0,0
12398.0,45,1,169.38000000000002,0,4
12399.0,118,4,124.76,0,4
12401.0,302,1,48.4,1,1
12402.0,322,1,36.2,1,1
12403.0,49,1,35.400000000000006,0,4
12405.0,148,1,191.39,1,4
12406.0,21,2,261.14000000000004,0,4
12407.0,49,5,251.58999999999997,0,0
12408.0,32,5,317.40000000000003,0,0
12409.0,78,3,389.61999999999995,0,0
12410.0,308,2,164.71999999999997,1,1
12412.0,74,3,165.53999999999996,0,4
12413.0,66,3,182.33999999999997,0,4
12414.0,216,3,154.26000000000002,1,1
12415.0,23,21,2097.08,2,2
12417.0,2,9,1024.88,2,3
12418.0,112,1,121.19,0,4
12420.0,63,1,136.51,0,4
12421.0,15,4,203.40999999999997,0,0
12422.0,95,3,127.15,0,4
12423.0,0,8,364.20000000000005,0,0
12424.0,162,2,83.42000000000002,1,1
12425.0,77,1,92.32,0,4
12426.0,194,1,118.08999999999999,1,1
12427.0,21,3,142.26,0,4
12428.0,25,9,1360.46,2,3
12429.0,8,4,352.18000000000006,0,0
12430.0,42,1,68.48,0,4
12431.0,35,15,889.49,2,3
12432.0,42,5,1139.4900000000002,2,3
12433.0,0,7,920.9499999999998,2,3
12434.0,84,2,183.62999999999997,0,4
12435.0,79,2,197.24999999999997,0,4
12436.0,99,1,84.28,0,4
12437.0,1,18,798.5,2,2
